offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220328_BOG_other_Spend-BMS_alimentoscongelados_W13,,15,true,28-03-2022,04-04-2022,10,2,,86858#412928#244593#351389#86858#412928#168438
20220328_BOG_other_Spend-BMS_pollo_W13,,18,true,28-03-2022,04-04-2022,10,2,,24106#73744#273998#80658#88865#239244#394839#24106#73744#273998#84440#239246#313145#24106#73744#273998#259095#259096#389953#80658#88865#312789#313153#240538#259095#259096
20220328_BOG_other_Spend-BMS_leches_W13,,10,true,28-03-2022,04-04-2022,8,2,,161743#161744#266758#266759#220314#82993#401541#-300756#190553
20220328_BOG_other_Spend-BMS_tuberculos_W13,,16,true,28-03-2022,04-04-2022,2,2,,-302061#-302769#58488#56283#-302061#-302769#58488#56283#-302061#-302769#58488#56283#-302265#150900#56110#56112#59057#70468#59055#70466#56110#56112#59057#70468#59055#70466#-302061#-302769#58488#56283#-303201#-302175#-302424#-301494#132490#60070#-302163#59065#-303459#48738#132738#59067#59063#132740#48790#358689#358693#358691#-302196#56110#56112#59057#70468#59055#70466#59065#-303459#48738#132738#59067#59063#132740#48790#358689#358693#358691#-302196#-303201#-302175#-302424#-301494#132490#60070#-302163#94271
20220328_BOG_other_Spend-BMS_bebidassinalcohol_W13,,15,true,28-03-2022,04-04-2022,10,2,,194399#227091#194393#271114#271116#271115#194389#257335#271110#271112#271111#194403#271118#271120#271119#257339#227089#257333#257291#271092#271093#271104#271105#295238#295239#271098#271099#271114#271116#271115#257325
20220328_BOG_other_Spend-BMS_verduras_W13,,20,true,28-03-2022,04-04-2022,50,2,,-300324#-300327#-300330#58813#-300324#-300327#-300330#58813#-300165#58827#-300882#-302802#-303408#58478#-301104#-301158#134651#134653#-303333#-303336#-303339#59130#-303432#-303342#-303354#59132#-303300#58952#-301206#-301209#-303339#59130#-303432#-303342#-303354#59132#58979#58977#-302361#-303267#-301119#12058#12060#58483#-301056#-301059#211601#-303339#59130#-303432#-303342#-303354#59132#150483#150487#150485#150689#-303333#-303336#12156#58473#-301296#-301266#58822#-303339#59130#-303432#-303342#-303354#59132#150741#150743#150745#150747#-300252#58979#58977#-302361#-303267#-301056#-301059#211601#-300294#59123#-302364#-303240#32734#-302370#48702#58967#58979#58977#-302361#-303267#-303402#58979#58977#-302361#-303267#-303462#-303450#-301206#-301209#-303339#59130#-303432#-303342#-303354#59132#-302808#-302805#-301203#59079#-301194#59094#150758#150760#150754#150756#-303462#-303450#-301464#-300933#-300939#-301296#-301266#58822#150758#150760#150754#150756#150758#150760#150754#150756#147156
20220328_BOG_other_Spend-BMS_arroz_W13,,7,true,28-03-2022,04-04-2022,4,2,,227790#234359#234361#-302223#124649#124651#227790#234359#234361#-301818#124659#124661#227790#234359#234361#-301707#124530#124536#227796#-302223#124649#124651
20220328_BOG_other_Spend-BMS_huevos_W13,,10,true,28-03-2022,04-04-2022,12,2,,169189#290511#130690#136080#136082#161739#161740
20220328_BOG_other_Spend-BMS_contenedores_W13,,10,true,28-03-2022,04-04-2022,6,2,,9991#118010#178589#102355#82996#57791#145643#145458#9991#118010#31501#118015#102355#82996#118027#111139#118025#71944#61757#118033#31507#118020#57817#57797
20220328_BOG_other_Spend-BMS_cerdo_W13,,18,true,28-03-2022,04-04-2022,10,2,,350244#394588#356239#394589#350244#394588#176446#394638#307495#307497#333684#326105#366667#366645#356239#394589#356243#366673#121422#260827#307499#333682#366653#84692#307503#376039#307507#307505
20220328_BOG_other_Spend-All_empaqueyenvoltura_W13,,10,true,28-03-2022,04-04-2022,4,2,,41435#41417#310245#174639
20220328_BOG_other_Spend-All_cuidadoyproteccionpersonal_W13,,20,true,28-03-2022,04-04-2022,5,2,,83081#83083#275319#275315#-300471
20220328_BOG_other_Spend-All_pescadosymariscoscongelado_W13,,18,true,28-03-2022,04-04-2022,10,2,,179757#86872#168262#230589#215626
20220328_BOG_other_Spend-All_papelytoallas_W13,,15,true,28-03-2022,04-04-2022,12,2,,197543#254437#197545#421596#421597#197541#421592#421594#421593#197543#254437#197553#417935#197341#75487#126189#421380#421381#421379#-301122#420393#420395#197347#417931#75487#126189#421380#421381#421379#197343#75376#336743#336742#197345#417930#75345#421382#-301116#420397#336743#336742
20220328_BOG_other_Spend-All_dotacion_W13,,-1,true,28-03-2022,04-04-2022,-1,-1,,365195#365199#365197#199540#199543#199544#199540#199543#199544
20220328_BOG_other_Spend-All_res_W13,,18,true,28-03-2022,04-04-2022,12,2,,262089#260830#70953#256517#84477#121688#239389#127049#419110#260836#260837#209297#213412#199439#199447#260818#70686#127045#394738#199443#356251#256523#209289#256534#260833#127741#199445#127035#356255#419116
20220328_BOG_corrientazo_Spend-BMS_alimentoscongelados_W13,,15,true,28-03-2022,04-04-2022,10,2,,244593#86858#412928#351389#244589#86858#412928
20220328_BOG_corrientazo_Spend-BMS_pollo_W13,,18,true,28-03-2022,04-04-2022,10,2,,24106#73744#273998#239244#394839#80658#88865#239246#24106#73744#273998#84440#80658#88865#313145#24106#73744#273998#187093#210457#259095#259096#312789#313153#240538#389953#312791
20220328_BOG_corrientazo_Spend-BMS_leches_W13,,10,true,28-03-2022,04-04-2022,8,2,,190553#161743#161744#266758#266759#401541#220314#82993#190555
20220328_BOG_corrientazo_Spend-BMS_tuberculos_W13,,16,true,28-03-2022,04-04-2022,2,2,,-302769#-302061#58488#56283#-302769#-302061#58488#56283#59057#56112#56110#70468#59055#70466#-302769#-302061#58488#56283#59057#56112#56110#70468#59055#70466#94271#59057#56112#56110#70468#59055#70466#-302769#-302061#58488#56283#-303459#59065#48738#59067#59063#132738#358689#132740#48790#358693#358691#56104#59050#-303201#-302175#-302424#132490#-301494#60070#-303459#59065#48738#59067#59063#132738#358689#132740#48790#358693#358691
20220328_BOG_corrientazo_Spend-BMS_bebidassinalcohol_W13,,15,true,28-03-2022,04-04-2022,10,2,,194399#271114#271116#271115#271110#271112#271111#227091#194393#271118#271120#271119#194389#257335#227089#194403#257339#271092#271093#257333#257291#271098#271099#271114#271116#271115#295238#295239#257295#271104#271105
